COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Pomaretto,"1,011",8.56,E,D2,P1,T4,S2
Pont-Canavese,"3,290",19.06,P,D2,P1,T1,S1
Porte,"1,034",4.45,Q,,,,
Pragelato,775,89.20,E,D5,P5,T5,S5
Prali,239,72.61,E,D5,P5,T5,S5
Pralormo,"1,905",29.85,B,D3,P3,T2,S3
Pramollo,224,22.48,Q,,,,
Prarostino,"1,283",10.51,Q,,,,
Prascorsano,753,6.24,Q,,,,
Pratiglione,514,7.88,Q,,,,
Quagliuzzo,331,2.04,Q,,,,
Quassolo,345,3.96,Q,,,,
Quincinetto,"1,030",17.79,P,D2,P1,T4,S2
Reano,"1,774",6.67,Q,,,,
Ribordone,49,43.60,Q,,,,
Rivalba,"1,153",10.83,P,D1,P1,T4,S1
Rivalta di Torino,"20,068",25.11,P,D3,P5,T1,S3
Riva presso Chieri,"4,749",35.83,P,D3,P1,T1,S1
Rivara,"2,586",12.58,P,D1,P2,T1,S1
Rivarolo Canavese,"12,462",32.25,P,D3,P5,T2,S4
Rivarossa,"1,592",10.87,Q,,,,
Rivoli,"48,542",29.50,B,D4,P5,T4,S4
Robassomero,"3,066",8.58,P,D2,P3,T1,S1
Rocca Canavese,"1,714",14.19,Q,,,,
Roletto,"2,034",9.70,P,D1,P2,T1,S1
Romano Canavese,"2,651",11.21,P,D4,P5,T4,S4
Ronco Canavese,300,96.27,Q,,,,
Rondissone,"1,887",10.69,P,D3,P1,T1,S1
Rorà,237,12.41,P,D4,P1,T1,S1
Roure,797,59.37,P,D4,P1,T4,S3
Rosta,"4,957",9.06,P,D3,P5,T5,S5
Rubiana,"2,373",26.94,Q,,,,
Rueglio,777,15.10,Q,,,,
Salassa,"1,850",4.95,P,D1,P1,T1,S1
Salbertrand,617,38.32,E,D5,P3,T4,S4
Salerano Canavese,473,2.10,Q,,,,
Salza di Pinerolo,77,15.89,Q,,,,
Samone,"1,581",2.43,Q,,,,
San Benigno Canavese,"6,030",22.23,P,D2,P2,T1,S1
San Carlo Canavese,"4,024",20.91,P,D1,P3,T1,S1
San Colombano Belmonte,354,3.38,P,D2,P2,T2,S1
San Didero,540,3.30,P,D2,P3,T1,S1
San Francesco al Campo,"4,908",14.98,P,D3,P5,T4,S4
Sangano,"3,752",6.65,P,D3,P4,T4,S4
San Germano Chisone,"1,761",15.86,Q,,,,
San Gillio,"3,193",8.89,P,D1,P1,T1,S1
San Giorgio Canavese,"2,567",20.40,Q,,,,
San Giorio di Susa,967,19.74,P,D3,P1,T5,S4
San Giusto Canavese,"3,355",9.61,P,D1,P2,T2,S1
San Martino Canavese,817,9.79,P,D2,P2,T4,S3
San Maurizio Canavese,"10,314",17.34,P,D2,P4,T4,S4
San Mauro Torinese,"18,910",12.55,P,D3,P5,T2,S4
San Pietro Val Lemina,"1,416",12.44,Q,,,,
San Ponso,253,2.12,Q,,,,
San Raffaele Cimena,"3,117",11.15,P,D2,P1,T5,S5
San Sebastiano da Po,"1,936",16.58,P,D1,P1,T4,S2
San Secondo di Pinerolo,"3,617",12.57,P,D4,P5,T4,S4
Sant'Ambrogio di Torino,"4,707",8.37,B,D2,P3,T1,S1
Sant'Antonino di Susa,"4,248",9.79,P,D2,P1,T1,S1
Santena,"10,739",16.20,P,D1,P1,T1,S1
Sauze di Cesana,247,78.28,E,D5,P5,T5,S5
Sauze d'Oulx,"1,096",17.31,E,D5,P5,T5,S5
Scalenghe,"3,282",31.68,Q,,,,
Scarmagno,830,8.03,P,D4,P1,T4,S1
Sciolze,"1,448",11.36,P,D1,P1,T4,S1
Sestriere,935,25.92,E,D5,P5,T5,S5
Settimo Rottaro,472,6.06,P,D1,P1,T5,S2
Settimo Torinese,"46,999",31.45,P,D3,P4,T1,S2
Settimo Vittone,"1,532",23.26,P,D4,P3,T4,S3
Sparone,970,29.68,P,D2,P1,T2,S1
Strambinello,270,2.21,P,D2,P4,T2,S3
Strambino,"6,290",22.47,Q,,,,
Susa,"6,256",10.99,B,D4,P4,T5,S4
Tavagnasco,795,8.68,P,D1,P1,T4,S1
Torino,"875,698",130.06,A,D5,P5,T4,S5
Torrazza Piemonte,"2,957",9.82,P,D1,P3,T2,S2
Torre Canavese,601,5.45,P,D3,P3,T4,S3
Torre Pellice,"4,587",21.10,P,D4,P4,T4,S4
Trana,"3,825",16.41,Q,,,,
Traversella,324,39.36,E,D4,P1,T5,S4
Traves,526,10.45,P,D3,P1,T2,S1
Trofarello,"10,858",12.35,P,D2,P3,T1,S2
Usseaux,186,37.97,H,D5,P5,T5,S5
Usseglio,201,98.54,H,D5,P4,T5,S5
Vaie,"1,412",7.23,P,D1,P2,T1,S1
Val della Torre,"3,921",36.53,P,D2,P5,T2,S4
Valgioie,957,9.12,Q,,,,
Vallo Torinese,775,6.08,P,D1,P2,T1,S1
Valperga,"3,056",11.91,Q,,,,
Valprato Soana,99,71.85,H,D5,P4,T5,S5
Varisella,830,22.56,Q,,,,
