COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Visco,799,3.54,P,D1,P1,T1,S1
Zuglio,568,18.21,P,D3,P1,T2,S1
Forgaria nel Friuli,"1,745",28.94,P,D4,P1,T2,S1
Campolongo Tapogliano,"1,149",11.02,Q,,,,
Rivignano Teor,"6,265",47.75,P,D2,P2,T4,S2
Sappada,"1,306",62.06,H,D5,P5,T5,S5
Fiumicello Villa Vicentina,"6,315",28.80,P,D3,P3,T4,S4
Treppo Ligosullo,711,35.58,E,D1,P1,T4,S2
Capriva del Friuli,"1,718",6.32,P,D3,P4,T5,S4
Cormons,"7,302",35.08,P,D4,P4,T4,S3
Doberdò del Lago,"1,364",27.05,P,D3,P1,T5,S5
Dolegna del Collio,336,12.88,P,D4,P3,T5,S5
Farra d'Isonzo,"1,689",10.25,P,D3,P4,T4,S4
Fogliano Redipuglia,"3,064",7.92,P,D4,P1,T2,S1
Gorizia,"34,336",41.26,B,D4,P4,T4,S4
Gradisca d'Isonzo,"6,468",11.22,B,D4,P5,T4,S4
Grado,"8,080",119.52,C,D5,P5,T5,S5
Mariano del Friuli,"1,490",8.59,Q,,,,
Medea,968,7.36,P,D2,P2,T4,S2
Monfalcone,"28,453",20.64,C,D5,P5,T2,S4
Moraro,738,3.57,Q,,,,
Mossa,"1,547",6.21,P,D2,P1,T4,S2
Romans d'Isonzo,"3,709",15.50,Q,,,,
Ronchi dei Legionari,"11,928",17.11,C,D3,P5,T4,S4
Sagrado,"2,197",13.94,P,D2,P3,T5,S4
San Canzian d'Isonzo,"6,203",33.89,P,D2,P3,T4,S3
San Floriano del Collio,768,10.63,P,D4,P3,T5,S5
San Lorenzo Isontino,"1,548",4.40,P,D1,P2,T2,S1
San Pier d'Isonzo,"2,005",9.03,P,D2,P1,T1,S1
Savogna d'Isonzo,"1,690",16.98,P,D2,P3,T4,S3
Staranzano,"7,256",18.82,P,D1,P5,T4,S4
Turriaco,"2,854",5.17,P,D2,P1,T4,S2
Villesse,"1,692",12.05,P,D3,P2,T4,S3
Duino Aurisina,"8,471",45.31,G,D5,P4,T5,S5
Monrupino,865,12.61,C,D5,P3,T2,S3
Muggia,"13,062",13.85,C,D5,P4,T2,S4
San Dorligo della Valle,"5,760",24.22,C,D4,P5,T4,S4
Sgonico,"2,068",31.40,B,D3,P4,T4,S3
Trieste,"204,267",85.10,G,D5,P5,T4,S5
Agazzano,"2,039",36.15,P,D1,P3,T4,S4
Alseno,"4,696",55.27,P,D2,P4,T2,S3
Besenzone,987,23.95,Q,,,,
Bettola,"2,723",122.37,P,D3,P3,T4,S3
Bobbio,"3,572",106.52,B,D5,P2,T5,S4
Borgonovo Val Tidone,"7,999",51.22,P,D1,P4,T4,S3
Cadeo,"6,066",38.48,P,D4,P5,T1,S4
Calendasco,"2,417",36.94,P,D2,P3,T1,S2
Caorso,"4,808",40.98,P,D1,P2,T4,S2
Carpaneto Piacentino,"7,740",63.08,P,D1,P4,T2,S3
Castell'Arquato,"4,591",52.75,B,D2,P4,T5,S4
Castel San Giovanni,"13,725",44.04,B,D3,P5,T1,S3
Castelvetro Piacentino,"5,301",35.05,P,D3,P4,T5,S5
Cerignale,122,30.82,E,D5,P2,T5,S5
Coli,845,71.69,E,D5,P1,T4,S4
Corte Brugnatella,586,46.31,Q,,,,
Cortemaggiore,"4,683",36.47,P,D1,P5,T2,S4
Farini,"1,168",112.35,P,D4,P1,T4,S3
Ferriere,"1,197",178.49,E,D5,P2,T5,S4
Fiorenzuola d'Arda,"15,300",59.77,P,D3,P5,T4,S4
Gazzola,"2,075",44.48,P,D3,P3,T5,S5
Gossolengo,"5,690",31.10,P,D1,P3,T4,S2
Gragnano Trebbiense,"4,539",34.61,P,D1,P3,T1,S1
Gropparello,"2,243",56.33,P,D1,P2,T5,S5
Lugagnano Val d'Arda,"3,927",54.40,P,D2,P3,T4,S2
Monticelli d'Ongina,"5,241",46.33,P,D2,P4,T2,S2
Morfasso,957,83.93,P,D3,P2,T4,S3
Ottone,485,98.95,P,D3,P2,T4,S3
Piacenza,"103,942",118.23,B,D4,P5,T4,S5
Pianello Val Tidone,"2,219",36.28,P,D1,P2,T4,S2
Piozzano,609,43.61,P,D3,P2,T5,S5
Podenzano,"9,114",44.34,P,D1,P4,T2,S3
Ponte dell'Olio,"4,707",43.91,P,D1,P4,T4,S3
Pontenure,"6,526",33.85,P,D3,P4,T1,S2
Rivergaro,"7,041",43.83,P,D3,P3,T4,S3
Rottofreno,"12,301",35.16,P,D1,P3,T2,S2
San Giorgio Piacentino,"5,609",49.19,P,D4,P3,T4,S3
San Pietro in Cerro,832,27.35,P,D1,P4,T1,S2
Sarmato,"2,847",27.26,Q,,,,
Travo,"2,104",81.01,P,D4,P3,T5,S4
Vernasca,"2,073",72.57,B,D3,P3,T5,S4
Vigolzone,"4,207",42.04,P,D2,P3,T4,S3
Villanova sull'Arda,"1,704",36.56,P,D1,P4,T4,S4
Zerba,73,24.13,E,D5,P2,T5,S5
Ziano Piacentino,"2,506",32.78,P,D3,P3,T1,S2
Alta Val Tidone,"3,016",100.86,P,D1,P3,T4,S3
Albareto,"2,145",104.10,P,D4,P3,T5,S4
Bardi,"2,150",189.89,B,D3,P3,T5,S4
Bedonia,"3,320",169.56,P,D4,P4,T4,S4
Berceto,"1,990",131.70,E,D5,P2,T5,S4
Bore,683,43.00,Q,,,,
Borgo Val di Taro,"6,849",151.49,P,D3,P3,T4,S3
Busseto,"6,911",76.59,P,D2,P4,T4,S3
Calestano,"2,118",57.35,P,D2,P2,T4,S2
Collecchio,"14,716",58.83,P,D4,P5,T1,S3
Colorno,"9,104",48.41,P,D3,P5,T4,S4
Compiano,"1,104",37.53,B,D4,P3,T4,S4
Corniglio,"1,842",165.70,H,D4,P2,T4,S3
Felino,"8,983",38.35,P,D1,P3,T2,S2
Fidenza,"27,041",95.12,P,D3,P5,T4,S4
Fontanellato,"7,061",53.98,B,D3,P5,T5,S5
Fontevivo,"5,641",26.00,P,D3,P5,T1,S3
Fornovo di Taro,"6,007",57.52,P,D1,P3,T2,S2
Langhirano,"10,484",70.84,P,D2,P4,T4,S3
Lesignano de' Bagni,"5,054",47.49,P,D2,P4,T4,S3
Medesano,"10,884",88.77,F,D2,P5,T4,S4
Monchio delle Corti,880,69.04,E,D5,P1,T4,S2
Montechiarugolo,"11,104",48.20,F,D4,P5,T2,S4
Neviano degli Arduini,"3,600",105.96,P,D3,P2,T2,S2
Noceto,"13,033",79.17,P,D4,P5,T1,S4
Palanzano,"1,099",69.80,P,D2,P3,T1,S2
Parma,"196,518",260.60,B,D5,P5,T4,S5
Pellegrino Parmense,"1,012",82.08,P,D3,P1,T4,S3
Roccabianca,"2,934",40.46,P,D2,P3,T1,S1
Sala Baganza,"5,679",30.75,B,D2,P4,T2,S3
Salsomaggiore Terme,"19,746",81.50,F,D5,P5,T4,S5
San Secondo Parmense,"5,739",37.71,P,D1,P3,T2,S2
Solignano,"1,743",73.14,P,D3,P3,T1,S2
Soragna,"4,841",45.39,B,D3,P4,T4,S3
Terenzo,"1,199",72.70,P,D3,P1,T4,S2
Tizzano Val Parma,"2,104",78.39,E,D4,P2,T2,S2
Tornolo,939,67.48,E,D3,P2,T2,S1
Torrile,"7,689",37.15,P,D2,P4,T1,S2
Traversetolo,"9,538",54.86,P,D1,P3,T2,S2
Valmozzola,515,67.64,P,D3,P1,T5,S4
Varano de' Melegari,"2,625",64.92,P,D4,P5,T4,S4
Varsi,"1,185",80.06,P,D4,P1,T4,S2
Sissa Trecasali,"7,846",72.71,P,D1,P4,T1,S2
Polesine Zibello,"3,188",48.50,P,D2,P3,T4,S3
Sorbolo Mezzani,"12,788",66.97,P,D1,P3,T2,S2
Albinea,"8,805",43.89,P,D2,P3,T4,S4
Bagnolo in Piano,"9,789",26.94,P,D2,P5,T5,S5
Baiso,"3,242",75.55,P,D2,P4,T4,S3
Bibbiano,"10,222",28.16,P,D1,P4,T2,S2
Boretto,"5,365",18.09,P,D1,P3,T2,S2
Brescello,"5,597",24.04,B,D4,P5,T4,S4
Cadelbosco di Sopra,"10,695",43.60,P,D2,P3,T1,S2
Campagnola Emilia,"5,671",24.39,P,D1,P4,T2,S3
Campegine,"5,156",22.62,P,D3,P4,T2,S3
Carpineti,"4,007",89.57,P,D3,P2,T4,S3
Casalgrande,"18,982",37.71,P,D2,P5,T2,S4
Casina,"4,441",63.80,P,D2,P4,T4,S3
Castellarano,"15,346",58.06,P,D1,P3,T1,S2
Castelnovo di Sotto,"8,482",35.01,P,D2,P4,T1,S3
Castelnovo ne' Monti,"10,506",96.68,H,D3,P4,T2,S3
Cavriago,"9,898",16.99,P,D2,P5,T1,S3
Canossa,"3,740",53.08,P,D2,P3,T4,S2
Correggio,"25,485",77.51,B,D3,P5,T5,S5
Fabbrico,"6,627",23.63,P,D1,P3,T1,S2
Gattatico,"5,763",42.14,P,D2,P4,T1,S2
Gualtieri,"6,507",35.64,P,D1,P4,T4,S3
Guastalla,"15,018",52.92,P,D2,P4,T2,S3
Luzzara,"8,840",38.52,P,D2,P4,T1,S2
Montecchio Emilia,"10,499",24.39,P,D3,P5,T4,S4
Novellara,"13,607",58.11,P,D1,P3,T4,S4
Poviglio,"7,295",43.55,P,D2,P4,T2,S3
Quattro Castella,"13,169",46.31,P,D2,P4,T4,S3
Reggiolo,"9,153",42.66,P,D2,P4,T1,S3
Reggio nell'Emilia,"171,999",230.68,B,D4,P5,T4,S4
Rio Saliceto,"6,088",22.56,Q,,,,
Rolo,"4,075",14.17,P,D1,P4,T1,S2
Rubiera,"14,861",25.19,P,D3,P5,T4,S4
San Martino in Rio,"8,126",22.72,P,D1,P3,T2,S2
San Polo d'Enza,"6,217",32.29,P,D2,P4,T2,S3
Sant'Ilario d'Enza,"11,333",20.23,P,D2,P4,T2,S3
Scandiano,"25,770",50.05,P,D2,P5,T2,S3
Toano,"4,367",67.25,E,D4,P1,T2,S1
Vetto,"1,822",53.37,P,D2,P1,T4,S2
Vezzano sul Crostolo,"4,237",37.82,P,D2,P2,T4,S2
Viano,"3,325",44.97,P,D3,P4,T4,S3
Villa Minozzo,"3,634",168.08,H,D4,P2,T4,S3
Ventasso,"4,130",258.17,H,D5,P3,T4,S5
Bastiglia,"4,263",10.47,P,D2,P5,T1,S4
Bomporto,"10,189",38.87,P,D2,P4,T1,S3
Campogalliano,"8,802",35.69,P,D4,P5,T2,S4
Camposanto,"3,172",22.71,P,D1,P5,T2,S3
Carpi,"71,836",131.54,P,D3,P5,T4,S4
Castelfranco Emilia,"33,059",102.51,P,D2,P4,T4,S3
Castelnuovo Rangone,"15,083",22.44,P,D1,P5,T4,S4
Castelvetro di Modena,"11,323",49.78,B,D4,P5,T4,S4
Cavezzo,"6,960",26.77,P,D1,P4,T5,S5
Concordia sulla Secchia,"8,373",40.94,P,D1,P4,T2,S2
Fanano,"2,950",89.91,H,D5,P3,T4,S4
Finale Emilia,"15,415",105.13,P,D2,P5,T2,S4
Fiorano Modenese,"17,064",26.23,P,D2,P4,T2,S3
Fiumalbo,"1,222",39.13,H,D5,P4,T5,S5
Formigine,"34,559",46.76,B,D4,P5,T2,S4
Frassinoro,"1,883",95.46,E,D5,P1,T4,S3
Guiglia,"3,907",48.30,P,D3,P3,T4,S3
Lama Mocogno,"2,675",63.91,E,D5,P2,T4,S4
Maranello,"17,680",32.58,B,D4,P5,T5,S5
Marano sul Panaro,"5,264",45.47,P,D2,P3,T1,S1
Medolla,"6,256",27.00,P,D3,P5,T1,S3
Mirandola,"23,895",137.05,P,D1,P5,T1,S3
Modena,"186,307",183.17,B,D5,P5,T4,S5
Montecreto,937,31.22,E,D5,P4,T5,S5
Montefiorino,"2,122",45.28,P,D2,P2,T4,S2
Montese,"3,315",81.00,E,D4,P1,T4,S2
Nonantola,"16,122",55.32,P,D2,P4,T2,S3
Novi di Modena,"10,066",51.81,P,D1,P3,T1,S1
Palagano,"2,120",60.41,P,D2,P2,T1,S1
Pavullo nel Frignano,"17,680",143.73,E,D3,P4,T2,S3
Pievepelago,"2,327",76.53,E,D5,P2,T4,S4
Polinago,"1,618",53.74,P,D2,P2,T4,S2
Prignano sulla Secchia,"3,734",79.67,P,D1,P2,T1,S1
Ravarino,"6,173",28.53,P,D1,P3,T1,S1
Riolunato,692,44.91,E,D5,P2,T5,S5
San Cesario sul Panaro,"6,513",27.31,P,D3,P3,T1,S2
San Felice sul Panaro,"10,862",51.66,P,D1,P5,T1,S3
San Possidonio,"3,552",17.06,P,D4,P4,T1,S3
San Prospero,"5,977",34.56,P,D3,P4,T2,S3
Sassuolo,"40,918",38.40,B,D3,P5,T2,S4
Savignano sul Panaro,"9,251",25.55,P,D2,P4,T5,S5
Serramazzoni,"8,430",93.96,P,D2,P3,T4,S2
Sestola,"2,485",52.47,H,D5,P5,T5,S5
Soliera,"15,427",50.93,P,D3,P4,T1,S3
Spilamberto,"12,859",29.79,P,D2,P4,T4,S4
Vignola,"25,493",22.86,P,D3,P4,T2,S3
Zocca,"4,583",69.36,E,D4,P1,T4,S2
Anzola dell'Emilia,"12,323",36.60,B,D4,P4,T2,S3
Argelato,"9,834",35.10,P,D2,P3,T2,S2
Baricella,"7,115",45.48,P,D1,P3,T4,S3
Bentivoglio,"5,629",51.11,P,D5,P5,T2,S4
Bologna,"390,636",140.86,A,D5,P5,T5,S5
Borgo Tossignano,"3,273",29.27,P,D2,P2,T2,S2
Budrio,"18,460",120.18,P,D2,P3,T2,S2
Calderara di Reno,"13,256",40.75,P,D4,P5,T4,S4
Camugnano,"1,825",96.60,E,D4,P2,T4,S4
Casalecchio di Reno,"36,512",17.33,P,D3,P5,T4,S5
Casalfiumanese,"3,458",82.03,P,D2,P2,T2,S1
Castel d'Aiano,"1,872",45.26,E,D3,P1,T4,S2
Castel del Rio,"1,224",52.59,P,D4,P2,T5,S4
Castel di Casio,"3,410",47.33,P,D4,P1,T2,S1
Castel Guelfo di Bologna,"4,537",28.61,P,D1,P4,T4,S3
Castello d'Argile,"6,546",29.07,P,D2,P4,T1,S2
Castel Maggiore,"18,424",30.90,P,D3,P5,T4,S5
Castel San Pietro Terme,"20,984",148.41,F,D4,P5,T4,S4
Castenaso,"15,545",35.73,P,D5,P5,T2,S4
Castiglione dei Pepoli,"5,498",65.76,E,D3,P4,T4,S3
Crevalcore,"13,692",102.75,P,D1,P4,T5,S4
Dozza,"6,587",24.23,P,D3,P3,T4,S3
Fontanelice,"1,948",36.56,P,D2,P1,T5,S4
Gaggio Montano,"4,840",58.67,P,D3,P1,T1,S1
Galliera,"5,507",37.15,P,D1,P3,T2,S2
Granarolo dell'Emilia,"12,130",34.37,P,D4,P5,T2,S4
Grizzana Morandi,"3,894",77.40,P,D2,P3,T4,S2
Imola,"69,798",205.02,B,D4,P5,T4,S4
Lizzano in Belvedere,"2,182",85.45,E,D5,P3,T5,S5
Loiano,"4,298",52.41,E,D4,P4,T4,S4
Malalbergo,"9,117",53.82,P,D2,P4,T2,S3
Marzabotto,"6,834",74.53,P,D3,P2,T4,S3
Medicina,"16,782",159.11,P,D1,P4,T4,S3
Minerbio,"8,871",43.07,P,D2,P3,T4,S3
Molinella,"15,608",127.84,P,D2,P4,T1,S2
Monghidoro,"3,698",48.28,P,D3,P2,T1,S1
Monterenzio,"6,161",105.26,P,D3,P4,T4,S3
Monte San Pietro,"10,875",74.69,P,D2,P2,T4,S3
Monzuno,"6,361",65.01,E,D4,P3,T4,S4
Mordano,"4,683",21.45,P,D2,P4,T2,S3
Ozzano dell'Emilia,"13,817",64.95,P,D3,P4,T2,S3
Pianoro,"17,608",107.13,P,D3,P4,T4,S3
Pieve di Cento,"7,128",15.94,B,D4,P5,T2,S4
Sala Bolognese,"8,465",45.64,P,D1,P3,T4,S2
San Benedetto Val di Sambro,"4,159",66.47,E,D4,P3,T4,S3
San Giorgio di Piano,"8,820",30.43,P,D1,P4,T1,S2
San Giovanni in Persiceto,"28,292",114.41,P,D3,P5,T2,S3
San Lazzaro di Savena,"32,518",44.72,B,D4,P5,T4,S5
San Pietro in Casale,"12,435",65.86,P,D3,P4,T4,S4
Sant'Agata Bolognese,"7,404",34.79,B,D1,P4,T1,S3
Sasso Marconi,"14,909",96.45,P,D3,P3,T2,S3
Vergato,"7,709",59.94,P,D3,P5,T4,S4
Zola Predosa,"19,015",37.75,P,D4,P5,T2,S4
Valsamoggia,"31,209",178.13,P,D4,P4,T1,S3
Alto Reno Terme,"6,904",73.62,F,D4,P4,T4,S4
Argenta,"21,429",311.66,P,D2,P4,T4,S3
Bondeno,"14,133",174.75,P,D2,P3,T2,S2
Cento,"35,474",64.74,P,D3,P4,T4,S3
Codigoro,"11,603",169.27,P,D2,P4,T2,S3
Comacchio,"22,114",283.75,G,D5,P5,T5,S5
Copparo,"16,234",157.00,P,D1,P4,T1,S3
Ferrara,"132,052",405.14,B,D4,P5,T4,S4
Jolanda di Savoia,"2,814",108.34,P,D1,P2,T1,S1
Lagosanto,"4,842",34.44,P,D1,P2,T2,S1
Masi Torello,"2,301",22.71,P,D1,P1,T2,S1
Mesola,"6,726",84.30,P,D3,P3,T1,S2
Ostellato,"5,935",173.34,B,D3,P4,T1,S2
Poggio Renatico,"9,786",80.23,P,D1,P4,T4,S3
Portomaggiore,"11,604",126.64,P,D2,P3,T2,S2
Vigarano Mainarda,"7,583",42.02,B,D2,P5,T4,S4
Voghiera,"3,674",40.33,P,D1,P3,T4,S3
Goro,"3,699",26.62,P,D2,P2,T2,S1
Fiscaglia,"8,788",116.18,P,D2,P3,T4,S2
Terre del Reno,"9,996",51.03,P,D1,P3,T2,S2
Riva del Po,"7,839",111.82,P,D1,P3,T2,S2
Tresignana,"7,065",43.06,P,D1,P3,T2,S2
Alfonsine,"11,938",106.79,P,D1,P4,T1,S3
Bagnacavallo,"16,714",79.58,P,D2,P4,T4,S3
Bagnara di Romagna,"2,430",9.96,P,D2,P4,T4,S4
Brisighella,"7,498",194.32,L,D4,P4,T4,S4
Casola Valsenio,"2,520",84.41,P,D3,P3,T4,S3
Castel Bolognese,"9,599",32.37,P,D1,P3,T4,S2
Cervia,"28,819",82.27,G,D5,P5,T5,S5
Conselice,"9,752",60.20,P,D1,P3,T1,S1
Cotignola,"7,375",35.14,P,D2,P4,T1,S2
Faenza,"58,755",215.76,B,D4,P5,T4,S4
Fusignano,"8,157",24.55,P,D2,P4,T2,S3
Lugo,"32,283",117.05,P,D3,P5,T4,S4
Massa Lombarda,"10,557",37.25,P,D2,P4,T1,S3
Ravenna,"157,663",653.81,G,D5,P5,T4,S5
Riolo Terme,"5,681",44.26,L,D4,P4,T4,S4
Russi,"12,306",46.26,P,D2,P4,T4,S4
Sant'Agata sul Santerno,"2,929",9.37,P,D1,P5,T4,S5
Solarolo,"4,480",26.04,P,D1,P2,T4,S3
Bagno di Romagna,"5,815",233.50,L,D5,P5,T5,S5
Bertinoro,"10,927",57.25,F,D4,P5,T4,S4
Borghi,"2,884",30.23,P,D1,P1,T4,S1
Castrocaro Terme e Terra del Sole,"6,377",38.95,L,D5,P4,T4,S4
Cesena,"97,210",249.46,B,D4,P5,T4,S4
Cesenatico,"25,933",45.16,G,D5,P5,T5,S5
Civitella di Romagna,"3,724",117.93,P,D2,P2,T5,S4
Dovadola,"1,573",38.97,P,D3,P3,T4,S3
Forlì,"117,798",228.20,B,D4,P5,T4,S4
Forlimpopoli,"13,274",24.46,P,D2,P5,T4,S4
Galeata,"2,500",63.13,P,D2,P4,T4,S4
Gambettola,"10,733",7.77,P,D1,P3,T2,S2
Gatteo,"9,132",14.14,C,D5,P5,T4,S5
Longiano,"7,200",23.58,B,D3,P4,T2,S3
Meldola,"9,961",79.08,P,D1,P4,T4,S4
Mercato Saraceno,"6,860",99.33,P,D1,P2,T2,S2
Modigliana,"4,474",101.16,P,D4,P2,T2,S1
Montiano,"1,722",9.26,P,D1,P1,T2,S1
Portico e San Benedetto,753,61.05,B,D5,P3,T4,S4
Predappio,"6,285",91.39,P,D2,P4,T2,S3
Premilcuore,753,98.56,B,D5,P2,T4,S4
Rocca San Casciano,"1,828",50.56,P,D2,P3,T2,S2
Roncofreddo,"3,406",51.53,P,D3,P2,T4,S3
San Mauro Pascoli,"12,017",17.29,C,D5,P5,T4,S5
Santa Sofia,"4,114",148.86,B,D5,P3,T2,S3
Sarsina,"3,380",100.72,P,D2,P2,T4,S3
Savignano sul Rubicone,"17,842",23.30,C,D5,P4,T4,S4
Sogliano al Rubicone,"3,193",93.43,P,D3,P2,T4,S2
Tredozio,"1,141",62.20,B,D5,P2,T4,S4
Verghereto,"1,818",117.88,E,D5,P3,T4,S4
Acqualagna,"4,371",50.68,B,D5,P2,T4,S4
Apecchio,"1,803",103.11,P,D5,P1,T4,S3
Belforte all'Isauro,741,12.29,P,D3,P1,T1,S1
Borgo Pace,572,56.22,P,D5,P2,T5,S5
Cagli,"8,408",226.46,P,D4,P2,T4,S2
Cantiano,"2,171",83.25,P,D3,P1,T5,S5
Carpegna,"1,668",28.94,E,D5,P3,T4,S4
Cartoceto,"7,926",23.20,P,D2,P2,T2,S1
Fano,"60,872",120.32,G,D5,P4,T4,S5
Fermignano,"8,456",43.70,P,D4,P1,T2,S1
Fossombrone,"9,395",106.88,P,D3,P3,T2,S2
Fratte Rosa,936,15.63,P,D4,P1,T2,S1
Frontino,285,10.37,B,D5,P3,T4,S5
Frontone,"1,265",36.07,P,D5,P1,T5,S4
Gabicce Mare,"5,680",4.93,C,D5,P5,T5,S5
Gradara,"4,874",17.53,G,D4,P4,T4,S4
Isola del Piano,562,23.30,P,D4,P3,T1,S1
Lunano,"1,493",15.01,P,D2,P1,T1,S1
Macerata Feltria,"1,994",40.07,B,D4,P3,T2,S2
Mercatello sul Metauro,"1,334",68.35,B,D4,P1,T4,S2
Mercatino Conca,"1,031",13.95,Q,,,,
Mombaroccio,"2,077",28.21,P,D3,P1,T2,S1
Mondavio,"3,817",29.64,B,D3,P2,T2,S2
Mondolfo,"14,360",24.34,G,D5,P4,T4,S5
Montecalvo in Foglia,"2,762",18.25,P,D3,P3,T2,S2
Monte Cerignone,653,18.24,P,D3,P1,T5,S4
Monteciccardo,"1,640",26.04,P,D5,P2,T1,S2
Montecopiolo,"1,091",35.81,E,D4,P2,T4,S4
Montefelcino,"2,615",39.01,P,D3,P2,T1,S1
Monte Grimano Terme,"1,117",23.97,B,D4,P1,T4,S2
Montelabbate,"6,990",19.57,P,D2,P1,T1,S1
Monte Porzio,"2,835",18.29,P,D3,P2,T4,S2
Peglio,686,21.36,P,D4,P1,T2,S1
Pergola,"6,151",112.40,P,D4,P1,T2,S1
Pesaro,"94,969",126.77,G,D5,P5,T4,S5
Petriano,"2,802",11.27,P,D1,P2,T1,S1
Piandimeleto,"2,130",39.90,P,D2,P2,T4,S2
Pietrarubbia,647,13.29,P,D4,P1,T4,S2
Piobbico,"1,916",48.20,P,D4,P1,T2,S2
San Costanzo,"4,711",40.89,C,D5,P1,T4,S3
San Lorenzo in Campo,"3,325",28.80,P,D4,P2,T5,S4
Sant'Angelo in Vado,"4,054",67.34,P,D3,P3,T4,S3
Sant'Ippolito,"1,507",19.88,P,D4,P2,T4,S3
Sassofeltrio,"1,411",21.08,P,D3,P2,T2,S1
Serra Sant'Abbondio,963,32.80,P,D4,P1,T4,S2
Tavoleto,870,12.41,P,D3,P3,T1,S2
Tavullia,"7,947",42.06,C,D3,P3,T2,S2
Urbania,"6,990",77.53,P,D5,P2,T2,S3
Urbino,"14,361",226.49,B,D5,P5,T4,S5
Vallefoglia,"15,133",39.57,B,D3,P4,T2,S3
Colli al Metauro,"12,341",46.17,B,D3,P3,T2,S2
Terre Roveresche,"5,238",70.37,P,D4,P2,T1,S1
Sassocorvaro Auditore,"4,940",87.55,P,D3,P3,T2,S2
Agugliano,"4,733",21.89,P,D1,P3,T4,S2
Ancona,"101,043",124.87,G,D5,P5,T4,S4
Arcevia,"4,408",128.33,P,D5,P2,T2,S2
Barbara,"1,327",11.04,Q,,,,
Belvedere Ostrense,"2,181",29.45,P,D3,P2,T1,S1
Camerano,"7,125",20.00,L,D4,P5,T2,S4
Camerata Picena,"2,558",11.89,P,D2,P1,T4,S1
Castelbellino,"5,044",6.05,P,D2,P2,T1,S1
Castelfidardo,"18,683",33.39,G,D4,P4,T1,S3
Castelleone di Suasa,"1,588",15.92,P,D2,P2,T2,S1
Castelplanio,"3,446",15.32,P,D3,P3,T4,S4
Cerreto d'Esi,"3,650",16.91,P,D1,P2,T1,S1
Chiaravalle,"14,733",17.60,P,D1,P2,T2,S2
Corinaldo,"4,927",49.28,B,D4,P2,T2,S2
Cupramontana,"4,578",27.40,F,D4,P1,T1,S1
Fabriano,"30,509",272.08,B,D4,P4,T2,S3
Falconara Marittima,"25,906",25.81,C,D4,P4,T4,S4
Filottrano,"9,298",71.20,P,D2,P1,T1,S1
Genga,"1,708",73.15,L,D5,P4,T4,S4
Jesi,"39,969",108.90,B,D3,P4,T2,S3
Loreto,"12,786",17.90,G,D5,P4,T4,S5
Maiolati Spontini,"6,201",21.49,P,D2,P4,T2,S3
Mergo,"1,013",7.28,P,D5,P2,T1,S2
Monsano,"3,350",14.66,P,D4,P5,T2,S4
Montecarotto,"1,913",24.39,P,D4,P2,T1,S1
Montemarciano,"9,873",22.31,C,D4,P2,T4,S3
Monte Roberto,"3,059",13.57,P,D2,P1,T1,S1
Monte San Vito,"6,815",21.81,P,D2,P2,T4,S2
Morro d'Alba,"1,854",19.46,G,D4,P1,T4,S2
Numana,"3,795",10.93,C,D5,P5,T5,S5
Offagna,"2,025",10.63,G,D4,P3,T2,S2
Osimo,"35,007",106.74,P,D4,P4,T1,S3
Ostra,"6,666",47.25,B,D3,P2,T2,S2
Ostra Vetere,"3,234",30.02,P,D3,P1,T1,S1
Poggio San Marcello,671,13.36,Q,,,,
Polverigi,"4,552",24.98,P,D3,P3,T2,S2
Rosora,"1,950",9.41,P,D4,P2,T1,S1
San Marcello,"2,008",25.78,P,D3,P3,T4,S3
San Paolo di Jesi,916,10.11,Q,,,,
Santa Maria Nuova,"4,097",18.29,P,D2,P1,T1,S1
Sassoferrato,"7,070",137.23,B,D3,P2,T2,S2
Senigallia,"44,620",117.77,G,D5,P5,T4,S5
Serra de' Conti,"3,737",24.54,P,D3,P3,T1,S2
Serra San Quirico,"2,759",49.33,B,D4,P2,T2,S1
Sirolo,"4,063",16.68,C,D5,P5,T5,S5
Staffolo,"2,211",27.50,B,D4,P3,T4,S4
Trecastelli,"7,569",39.30,C,D3,P2,T1,S1
Apiro,"2,196",53.78,P,D4,P1,T4,S2
Appignano,"4,155",22.67,P,D3,P3,T1,S2
Belforte del Chienti,"1,904",16.05,P,D3,P3,T5,S4
Bolognola,141,25.86,P,D5,P1,T5,S4
Caldarola,"1,710",29.22,P,D4,P2,T2,S2
Camerino,"6,852",129.88,H,D5,P5,T4,S5
Camporotondo di Fiastrone,525,8.81,P,D4,P4,T1,S2
Castelraimondo,"4,449",44.85,P,D4,P5,T4,S4
Castelsantangelo sul Nera,249,70.67,E,D2,P1,T4,S1
Cessapalombo,482,27.58,B,D4,P1,T5,S4
Cingoli,"10,082",148.20,H,D4,P1,T2,S2
Civitanova Marche,"42,476",46.07,C,D5,P4,T4,S4
Colmurano,"1,224",11.20,P,D3,P1,T2,S1
Corridonia,"15,212",61.96,P,D3,P4,T4,S4
Esanatoglia,"1,923",47.91,B,D4,P4,T4,S4
Fiastra,663,84.48,H,D5,P3,T5,S5
Fiuminata,"1,317",76.22,P,D4,P2,T4,S3
Gagliole,599,24.05,P,D4,P4,T4,S4
